x,y,z
1,40.79,3.72
1,40.86,3.73
1,40.9,3.75
1,41.27,3.73
1,41.38,3.76
1,41.36,3.74
1,41.38,3.73
1,41.39,3.73
1,41.35,3.73
1,40.87,3.72
1,41,3.72
1,40.85,3.73
1,40.92,3.74
1,40.91,3.75
1,40.9,3.76
1,40.99,3.76
1,40.93,3.74
1,40.8,3.73
1,40.65,3.73
1,40.48,3.73
1,40.83,3.75
1,40.78,3.73
1,40.89,3.75
1,40.93,3.75
1,40.87,3.74
1,40.89,3.76
1,40.87,3.74
1,40.8,3.72
1,40.89,3.74
1,40.3,3.76
1,40.63,3.77
1,41.25,3.75
1,41.6,3.76
1,41.6,3.78
1,41.61,3.78
1,41.53,3.77
1,41.62,3.77
1,40.92,3.73
1,40.71,3.76
1,40.59,3.75
1,40.3,3.75
1,40.7,3.76
1,40.69,3.77
1,40.7,3.74
1,40.91,3.75
1,41.29,3.73
1,41.25,3.74
1,41.21,3.73
1,41.21,3.76
1,41.22,3.75
1,41.34,3.77
1,41.3,3.77
1,41.37,3.78
1,41.39,3.77
1,41.32,3.78
1,41.46,3.78
1,41.56,3.78
1,41.62,3.77
1,41.69,3.76
1,41.77,3.77
1,41.8,3.74
1,41.73,3.75
1,41.74,3.76
1,41.68,3.76
1,41.43,3.77
1,41.45,3.77
1,41.11,3.74
1,40.98,3.75
1,41.04,3.76
1,41.16,3.76
1,40.99,3.74
1,41.17,3.75
1,41.19,3.74
1,41.17,3.74
1,41.19,3.72
1,41.22,3.71
1,41.21,3.7
1,41.19,3.72
1,41.21,3.74
1,41.84,3.74
1,41.84,3.73
1,41.99,3.73
1,41.83,3.74
1,41.71,3.74
1,40.4,3.73
1,40.43,3.74
1,40.98,3.76
1,40.99,3.75
1,41.01,3.72
1,54.03,5.71
1,53.98,5.71
1,54.18,5.72
1,54.23,5.71
1,54.01,5.73
1,54.13,5.74
1,54.22,5.74
1,54.23,5.7
1,54.18,5.72
1,53.72,5.73
1,53.83,5.69
1,53.49,5.7
1,52.82,5.69
1,52.73,5.69
